file_name,title,artist,genre,composers,performers,release_year,corpus,chord_progression_original,chord_progression
real-book_2712.jams,Count Every Star,,jazz,,,,,A:maj F#:min B:min7 E:7 A:maj F#:min7 B:min7 E:7 A:7 D:maj D:min A:maj B:min7 E:7 A:maj F#:min B:min7 E:7 A:maj F#:min B:min7 E:7 E:min7 A:7 A:maj Ab:dim D:min A:maj F#:min B:min7 E:7 A:maj D:maj E:7,<noparts> A F#min Bmin7 E7 A F#min7 Bmin7 E7 A7 D Dmin A Bmin7 E7 A F#min Bmin7 E7 A F#min Bmin7 E7 Emin7 A7 A Abdim Dmin A F#min Bmin7 E7 A D E7
real-book_1755.jams,Weary Blues,,jazz,,,,,F:maj F#:dim G:min7 C:7 F:7 E:7 Eb:7 D:7 G:min7 G#:dim F:maj6 F:maj6 G:min7 F:maj6 C:7 F:maj6 F:7 Bb:7 F:maj6 F#:dim C:7 F:maj6 F:7 Bb:maj6 Bb:min F:maj6 F:7 D:dim C:7 F:maj6 G:min7 F:maj6 C:7 F:maj6 F:7 Bb:7 F:maj6 F#:dim C:7 F:maj6 F:7 Bb:maj6 Bb:min F:maj6 F:7 D:dim C:7 F:7 E:7 Eb:7 D:7 G:min7 G#:dim F:maj C:7 F:maj,<noparts> F F#dim Gmin7 C7 F7 E7 Eb7 D7 Gmin7 G#dim Fadd13 Gmin7 Fadd13 C7 Fadd13 F7 Bb7 Fadd13 F#dim C7 Fadd13 F7 Bbadd13 Bbmin Fadd13 F7 Ddim C7 Fadd13 Gmin7 Fadd13 C7 Fadd13 F7 Bb7 Fadd13 F#dim C7 Fadd13 F7 Bbadd13 Bbmin Fadd13 F7 Ddim C7 F7 E7 Eb7 D7 Gmin7 G#dim F C7 F
real-book_271.jams,"Hi-Lili, Hi-Lo",,jazz,,,,,Bb:maj G:min C:min7 F:7 Bb:maj Bb:maj Eb:maj Bb:maj C:min7 F:7 C:min7 F:7 C:min7 F:7 Eb:maj7 F:7 Bb:maj Bb:maj Ab:7 G:7 F:9 F:dim Eb:dim G:7(b9) G:7 C:7 C:min7 F:7 Bb:maj Bb:maj Bb:maj Bb:dim Bb:maj Eb:maj F:7 Bb:maj Bb:dim Bb:maj F:min G:7 C:min Bb:maj F:7 Bb:maj Bb:7 Eb:maj Eb:maj Bb:maj F:7 Bb:maj Bb:maj Bb:maj,<noparts> Bb Gmin Cmin7 F7 Bb Eb Bb Cmin7 F7 Cmin7 F7 Cmin7 F7 Ebmaj7 F7 Bb Ab7 G7 F9 Fdim Ebdim G7b9 G7 C7 Cmin7 F7 Bb Bbdim Bb Eb F7 Bb Bbdim Bb Fmin G7 Cmin Bb F7 Bb Bb7 Eb Bb F7 Bb
real-book_1864.jams,Blues Backstage,['Frank Foster'],jazz,,,,,Bb:maj Bb:7 Eb:9 Eb:9 E:dim Bb:maj G:7 C:min7 F:7 E:dim Bb:maj Bb:maj Bb:7 Eb:9 Eb:9 E:dim Bb:maj G:7 C:min7 F:7 Bb:maj Bb:maj Bb:maj Bb:7 Eb:9 Eb:9 E:dim Bb:maj G:7,<noparts> Bb Bb7 Eb9 Edim Bb G7 Cmin7 F7 Edim Bb Bb7 Eb9 Edim Bb G7 Cmin7 F7 Bb Bb7 Eb9 Edim Bb G7
real-book_1653.jams,Dimming Of The Day,,jazz,,,,,C:maj G:maj F:maj C:maj G:maj C:maj G:maj F:maj C:maj G:maj C:maj G:maj D:maj G:maj D:maj G:maj C:maj F:maj C:maj G:maj F:maj C:maj G:maj C:maj G:maj F:maj C:maj G:maj C:maj G:maj D:maj G:maj D:maj G:maj C:maj F:maj C:maj G:maj F:maj C:maj G:maj C:maj G:maj F:maj C:maj G:maj C:maj F:maj C:maj G:maj C:maj,<noparts> C G F C G C G F C G C G D G D G C F C G F C G C G F C G C G D G D G C F C G F C G C G F C G C F C G C
jazz-corpus_115.jams,,,jazz,,,,,C:maj7 D:7 D:min7 G:7 C:maj7 A:7 D:min7 G:7 C:maj7 D:7 D:min7 G:7 C:maj7 C:7 F:maj7 D:7 D:min7 G:7 C:maj7 D:7 D:min7 G:7 C:maj7,<noparts> Cmaj7 D7 Dmin7 G7 Cmaj7 A7 Dmin7 G7 Cmaj7 D7 Dmin7 G7 Cmaj7 C7 Fmaj7 D7 Dmin7 G7 Cmaj7 D7 Dmin7 G7 Cmaj7
real-book_2322.jams,June Brought The Roses,,jazz,,,,,C:maj C:aug F:maj D:min7 G:maj G:aug C:maj C:aug C:7 D:maj G:7 G:aug C:maj C:aug F:maj D:min7 G:maj G:aug C:maj A:7 D:7 D:min7 G:7 C:maj,<noparts> C Caug F Dmin7 G Gaug C Caug C7 D G7 Gaug C Caug F Dmin7 G Gaug C A7 D7 Dmin7 G7 C
weimar_54.jams,Don't Blame Me,,jazz,Fields/McHugh,Charlie Parker,2002.0,,C:maj6 F:min7 Bb:7 E:min7 A:7 D:min7 G:7 C:maj7 A:min7 D:min7 G:7 E:hdim7 A:7 D:min7 G:7 C:maj6 A:7 D:min7 G:7 C:maj6 F:min7 Bb:7 E:min7 A:7 D:min7 G:7 C:maj7 A:min7 D:min7 G:7 E:hdim7 A:7 D:min7 G:7 C:maj6 G:min7 C:7 F:maj7 E:7 A:min7 D:7 D:min7 Ab:7 G:7 C:maj6 F:min7 Bb:7 A:7 D:min7 G:7 C:maj7 A:min7 D:min7 G:7 E:hdim7 A:7 D:min7 G:7 C:maj6 A:7 D:min7 G:7 C:maj6,<noparts> Cadd13 Fmin7 Bb7 Emin7 A7 Dmin7 G7 Cmaj7 Amin7 Dmin7 G7 Edim7 A7 Dmin7 G7 Cadd13 A7 Dmin7 G7 Cadd13 Fmin7 Bb7 Emin7 A7 Dmin7 G7 Cmaj7 Amin7 Dmin7 G7 Edim7 A7 Dmin7 G7 Cadd13 Gmin7 C7 Fmaj7 E7 Amin7 D7 Dmin7 Ab7 G7 Cadd13 Fmin7 Bb7 A7 Dmin7 G7 Cmaj7 Amin7 Dmin7 G7 Edim7 A7 Dmin7 G7 Cadd13 A7 Dmin7 G7 Cadd13
real-book_2347.jams,That Da-Da Strain,,jazz,,,,,Bb:maj B:dim C:min7 F:7 G:min D:7 G:min F:7 F:7 Bb:maj D:7 G:7 C:7 F:7 Bb:maj Bb:dim C:min7 F:7 Bb:maj D:7 G:7 C:7 F:7 Bb:maj,<noparts> Bb Bdim Cmin7 F7 Gmin D7 Gmin F7 Bb D7 G7 C7 F7 Bb Bbdim Cmin7 F7 Bb D7 G7 C7 F7 Bb
real-book_2834.jams,Lazy Bird,,jazz,,,,,A:min7 D:9 C:min7 F:9 F:min7 Bb:9 Eb:maj7 A:min7 D:9 G:maj7 Ab:min7 Db:9 A:min7 D:9 C:min7 F:9 F:min7 Bb:9 Eb:maj7 A:min7 D:9 G:maj7 B:min7 E:9 A:maj7 Bb:min7 Eb:9 A:min7 D:9 G:maj7 Ab:min7 Db:9 A:min7 D:9 C:min7 F:9 F:min7 Bb:9 Eb:maj7 A:min7 D:9 F:9 Eb:9 A:min7 D:7(b9) G:maj7 C:7(b9) F:maj7 Bb:7(b9) Eb:9 Ab:maj7 Db:9(#11),<noparts> Amin7 D9 Cmin7 F9 Fmin7 Bb9 Ebmaj7 Amin7 D9 Gmaj7 Abmin7 Db9 Amin7 D9 Cmin7 F9 Fmin7 Bb9 Ebmaj7 Amin7 D9 Gmaj7 Bmin7 E9 Amaj7 Bbmin7 Eb9 Amin7 D9 Gmaj7 Abmin7 Db9 Amin7 D9 Cmin7 F9 Fmin7 Bb9 Ebmaj7 Amin7 D9 F9 Eb9 Amin7 D7b9 Gmaj7 C7b9 Fmaj7 Bb7b9 Eb9 Abmaj7 Db11s
real-book_285.jams,Better Be Home Soon,,jazz,,,,,C:maj A:min E:min G:maj C:maj A:min E:min G:maj C:maj C:7 F:maj F:min G:maj C:maj C:maj A:min E:min G:maj C:maj A:min E:min G:maj C:maj C:7 F:maj F:min G:maj C:maj Bb:maj D:maj G:maj Bb:maj A:7 D:maj C:maj A:min E:min G:maj C:maj A:min E:min G:maj C:maj C:7 F:maj F:min G:maj C:maj,<noparts> C Amin Emin G C Amin Emin G C C7 F Fmin G C Amin Emin G C Amin Emin G C C7 F Fmin G C Bb D G Bb A7 D C Amin Emin G C Amin Emin G C C7 F Fmin G C
real-book_1448.jams,For The Good Times,,jazz,,,,,C:maj7 A:min7 D:min7 G:7 E:min7 Eb:min7 D:min7 G:aug D:min7 G:7 C:maj7 A:min7 D:min7 G:7 C:maj7 G:min7 C:7 F:maj G:7 C:maj7 A:min7 D:min7 D:min7 G:7 D:min7 G:7 G:maj A:maj B:maj C:maj7 C:maj7 D:min7 G:7 D:min7 G:7 C:maj7 A:min7 D:min7 G:7 C:maj7 G:min7 C:7 F:maj7 Bb:9 D:min7 G:7 G:7 C:maj7 A:min7 D:min7 G:7,<noparts> Cmaj7 Amin7 Dmin7 G7 Emin7 Ebmin7 Dmin7 Gaug Dmin7 G7 Cmaj7 Amin7 Dmin7 G7 Cmaj7 Gmin7 C7 F G7 Cmaj7 Amin7 Dmin7 G7 Dmin7 G7 G A B Cmaj7 Dmin7 G7 Dmin7 G7 Cmaj7 Amin7 Dmin7 G7 Cmaj7 Gmin7 C7 Fmaj7 Bb9 Dmin7 G7 Cmaj7 Amin7 Dmin7 G7
real-book_1295.jams,Da Slockit Light,,jazz,,,,,D:maj B:min7 G:maj D:maj E:min A:7 D:maj E:min A:7 D:maj D:maj G:maj D:maj E:min A:7 D:maj E:min A:7 D:maj D:maj A:7 E:min A:7 D:maj E:7 A:7 D:maj A:7 E:min G:maj A:7 D:maj D:maj A:7 E:min G:maj D:maj E:min A:7 D:maj D:aug B:min7 E:min A:7 D:maj,<noparts> D Bmin7 G D Emin A7 D Emin A7 D G D Emin A7 D Emin A7 D A7 Emin A7 D E7 A7 D A7 Emin G A7 D A7 Emin G D Emin A7 D Daug Bmin7 Emin A7 D
real-book_1162.jams,Can't Help Lovin' Dat Man,,jazz,,,,,C:maj7 A:min7 D:min7 G:7 C:maj7 G:min7 C:7(b9) F:maj6 Bb:9 E:min7 A:min7 Ab:7 D:7(b9) G:7(b9) C:maj7 Eb:dim D:min7 G:7 C:maj7 A:min7 D:min7 G:7 C:maj7 G:min7 C:7(b9) F:maj6 Bb:9 E:min7 A:min7 Ab:7 D:7(b9) G:7(b9) C:maj7 D:min7 G:min7 C:7(b9) F:maj6 F#:dim C:maj7 D:7 Eb:maj7 D:min7 D:9 D:min7 G:7 C:maj7 A:min7 D:min7 G:7 C:maj7 G:min7 C:7(b9) F:maj6 Bb:9 E:min7 A:min7 Ab:7 D:7(b9) G:7(b9) C:maj7 Eb:9 Ab:maj7 Db:maj7,<noparts> Cmaj7 Amin7 Dmin7 G7 Cmaj7 Gmin7 C7b9 Fadd13 Bb9 Emin7 Amin7 Ab7 D7b9 G7b9 Cmaj7 Ebdim Dmin7 G7 Cmaj7 Amin7 Dmin7 G7 Cmaj7 Gmin7 C7b9 Fadd13 Bb9 Emin7 Amin7 Ab7 D7b9 G7b9 Cmaj7 Dmin7 Gmin7 C7b9 Fadd13 F#dim Cmaj7 D7 Ebmaj7 Dmin7 D9 Dmin7 G7 Cmaj7 Amin7 Dmin7 G7 Cmaj7 Gmin7 C7b9 Fadd13 Bb9 Emin7 Amin7 Ab7 D7b9 G7b9 Cmaj7 Eb9 Abmaj7 Dbmaj7
jazz-corpus_47.jams,,,jazz,,,,,C:maj B:min7 E:7 A:min7 D:7 G:min7 C:7 F:7 F:min7 Bb:7 E:min7 A:7 Eb:min7 Ab:7 D:min7 G:7 E:min7 A:min7 D:min7 G:7 C:maj,<noparts> C Bmin7 E7 Amin7 D7 Gmin7 C7 F7 Fmin7 Bb7 Emin7 A7 Ebmin7 Ab7 Dmin7 G7 Emin7 Amin7 Dmin7 G7 C
real-book_241.jams,Impressions,['Ron Stebbins'],jazz,,,,,E:maj6 F#:min7 G#:min7 F#:min7 B:7 E:maj6 F#:min7 G#:min7 F#:min7 A:maj7 B:7 E:maj6 B:7 E:maj6 F#:min7 G#:min7 F#:min7 B:7 E:maj6 F#:min7 G#:min7 F#:min7 A:maj7 B:7 E:maj6 A:min7 D:9 G:maj7 G:min7 C:9 F:maj7 B:7 E:maj6 F#:min7 G#:min7 F#:min7 B:7 E:maj6 F#:min7 G#:min7 F#:min7 A:maj7 B:7 E:maj6 F#:min7 B:7 E:maj6 F#:min7 G#:min7 F#:min7 B:7 E:maj6 F#:min7 G#:min7 F#:min7 A:maj7 B:7 E:maj6 B:7 E:maj6 F#:min7 G#:min7 F#:min7 B:7 E:maj6 F#:min7 G#:min7 F#:min7 A:maj7 B:7 E:maj6 A:min7 D:9 G:maj7 G:min7 C:9 F:maj7 B:7 E:maj6 F#:min7 G#:min7 F#:min7 B:7 E:maj6 F#:min7 G#:min7 F#:min7 A:maj7 B:7,<noparts> Eadd13 F#min7 G#min7 F#min7 B7 Eadd13 F#min7 G#min7 F#min7 Amaj7 B7 Eadd13 B7 Eadd13 F#min7 G#min7 F#min7 B7 Eadd13 F#min7 G#min7 F#min7 Amaj7 B7 Eadd13 Amin7 D9 Gmaj7 Gmin7 C9 Fmaj7 B7 Eadd13 F#min7 G#min7 F#min7 B7 Eadd13 F#min7 G#min7 F#min7 Amaj7 B7 Eadd13 F#min7 B7 Eadd13 F#min7 G#min7 F#min7 B7 Eadd13 F#min7 G#min7 F#min7 Amaj7 B7 Eadd13 B7 Eadd13 F#min7 G#min7 F#min7 B7 Eadd13 F#min7 G#min7 F#min7 Amaj7 B7 Eadd13 Amin7 D9 Gmaj7 Gmin7 C9 Fmaj7 B7 Eadd13 F#min7 G#min7 F#min7 B7 Eadd13 F#min7 G#min7 F#min7 Amaj7 B7
real-book_699.jams,Domino,['Ron Stebbins'],jazz,,,,,G:maj6 E:9 A:9 D:9 E:min7 A:9 A:min7 D:9 G:maj G:dim Eb:9 D:9 G:maj6 E:9 A:9 D:9 E:min7 A:9 A:min7 D:9 G:maj6 G:min7 C:9 F:maj7 A:min7 D:9 G:maj6 G:dim Eb:9 D:9 G:maj6 E:9 A:9 D:9 E:min7 A:9 A:min7 D:9 G:maj6 G#:dim A:min7 D:7 G:maj6 E:9 A:9 D:9 E:min7 A:9 A:min7 D:9 G:maj G:dim Eb:9 D:9 G:maj6 E:9 A:9 D:9 E:min7 A:9 A:min7 D:9 G:maj6 G:min7 C:9 F:maj7 A:min7 D:9 G:maj6 G:dim Eb:9 D:9 G:maj6 E:9 A:9 D:9 E:min7 A:9 A:min7 D:9 G:maj6 C:maj C:min,<noparts> Gadd13 E9 A9 D9 Emin7 A9 Amin7 D9 G Gdim Eb9 D9 Gadd13 E9 A9 D9 Emin7 A9 Amin7 D9 Gadd13 Gmin7 C9 Fmaj7 Amin7 D9 Gadd13 Gdim Eb9 D9 Gadd13 E9 A9 D9 Emin7 A9 Amin7 D9 Gadd13 G#dim Amin7 D7 Gadd13 E9 A9 D9 Emin7 A9 Amin7 D9 G Gdim Eb9 D9 Gadd13 E9 A9 D9 Emin7 A9 Amin7 D9 Gadd13 Gmin7 C9 Fmaj7 Amin7 D9 Gadd13 Gdim Eb9 D9 Gadd13 E9 A9 D9 Emin7 A9 Amin7 D9 Gadd13 C Cmin
real-book_351.jams,BALLADI,,jazz,,,,,A:min F:maj G:maj G:maj C:maj A:min D:min A:min E:7 A:min G:maj F:maj E:7 C:maj F:maj C:maj G:maj F:maj C:maj C:maj,<noparts> Amin F G C Amin Dmin Amin E7 Amin G F E7 C F C G F C
weimar_284.jams,Six Cats and a Prince,,jazz,Clayton,Lester Young,2005.0,,Bb:maj7 B:dim C:min7 F:7 Bb:maj7 F:7 Bb:maj7 B:dim C:min7 F:7 Bb:maj7 Bb:7 Eb:7 C:7 F:7 Bb:maj7 B:dim C:min7 F:7 Bb:maj7 F:7 Bb:maj7 B:dim C:min7 F:7 Bb:maj7 F:7 Bb:maj7 B:dim C:min7 F:7 Bb:maj7 Bb:7 Eb:7 C:7 F:7 Bb:maj7 B:dim C:min7 F:7 Bb:maj7 F:7,<noparts> Bbmaj7 Bdim Cmin7 F7 Bbmaj7 F7 Bbmaj7 Bdim Cmin7 F7 Bbmaj7 Bb7 Eb7 C7 F7 Bbmaj7 Bdim Cmin7 F7 Bbmaj7 F7 Bbmaj7 Bdim Cmin7 F7 Bbmaj7 F7 Bbmaj7 Bdim Cmin7 F7 Bbmaj7 Bb7 Eb7 C7 F7 Bbmaj7 Bdim Cmin7 F7 Bbmaj7 F7
real-book_1386.jams,Just A Gigolo,,jazz,,,,,Ab:maj Ab:maj7 Ab:maj B:dim Bb:min7 Eb:7 Bb:min Bb:min7 Eb:7 Eb:aug Ab:maj Ab:maj Gb:7 F:7 Bb:min Db:maj Db:min Ab:maj Bb:7 Bb:min7 Eb:7 Ab:maj Eb:7,<noparts> Ab Abmaj7 Ab Bdim Bbmin7 Eb7 Bbmin Bbmin7 Eb7 Ebaug Ab Gb7 F7 Bbmin Db Dbmin Ab Bb7 Bbmin7 Eb7 Ab Eb7
ireal-pro_741.jams,Je Ne Sais Pas,Hampton-Jones,medium_swing,,,,,F:maj7 Bb:min7 Eb:7 Ab:maj7 Db:7 G:min7 C:7 F:maj7 D:7 Bb:maj7 B:dim7 F:maj7 D:7(b9) G:min7 C:7 F:maj6 F:maj7 Bb:min7 Eb:7 Ab:maj7 Db:7 G:min7 C:7 F:maj7 D:7 Bb:maj7 B:dim7 F:maj7 D:7(b9) G:min7 C:7 F:maj6 Bb:maj6 B:dim7 F:maj6 F:7 Bb:maj6 B:dim7 F:maj7 D:7 G:min7 C:7 F:maj7 Bb:min7 Eb:7 Ab:maj7 Db:7 G:min7 C:7 F:maj7 D:7 Bb:maj7 B:dim7 F:maj7 D:7(b9) G:min7 C:7 F:maj6,<noparts> Fmaj7 Bbmin7 Eb7 Abmaj7 Db7 Gmin7 C7 Fmaj7 D7 Bbmaj7 Bdimb7 Fmaj7 D7b9 Gmin7 C7 Fadd13 Fmaj7 Bbmin7 Eb7 Abmaj7 Db7 Gmin7 C7 Fmaj7 D7 Bbmaj7 Bdimb7 Fmaj7 D7b9 Gmin7 C7 Fadd13 Bbadd13 Bdimb7 Fadd13 F7 Bbadd13 Bdimb7 Fmaj7 D7 Gmin7 C7 Fmaj7 Bbmin7 Eb7 Abmaj7 Db7 Gmin7 C7 Fmaj7 D7 Bbmaj7 Bdimb7 Fmaj7 D7b9 Gmin7 C7 Fadd13
